model,suite,task_label,task_text,n_layers,n_heads,k,n_ffn_active,n_attn_layers,compute_horizon,compute_horizon_pct,skip_com_pct,fragmentation,tail_skip_pct,late_attn_frac,attn_cutoff_pct,ffn_profile,attn_profile
pythia-410m,surface,Sky color (trivial),The sky is,24,16,39,22,17,23,1.0,0.413,1,1.0,0.0,0.8333,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.938, 0.0, 1.0, 0.5, 0.875, 0.812, 0.875, 1.0, 0.938, 0.438, 0.25, 0.0, 0.438, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,surface,Boiling point (trivial),Water boils at one hundred degrees,24,16,39,22,17,23,1.0,0.913,2,1.0,0.0,0.875,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 0.0, 1.0, 0.875, 0.875, 0.0, 0.75, 0.0, 0.625, 0.0, 0.438, 0.25, 0.0, 0.0, 0.0]"
pythia-410m,surface,Number sequence,One two three four,24,16,36,22,14,23,1.0,0.8478,1,1.0,0.0,0.7083,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.938, 1.0, 0.625, 0.812, 0.0, 0.875, 0.0, 0.0, 0.312, 0.438, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,surface,Dog sentence (surface),The dog barked at the,24,16,39,23,16,23,1.0,0.8696,1,1.0,0.0,0.75,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.938, 0.812, 1.0, 0.875, 0.875, 0.875, 0.688, 0.438, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,surface,Greeting (surface),"Hello, my name",24,16,39,23,16,23,1.0,0.7391,1,1.0,0.0,0.8333,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.938, 1.0, 0.875, 0.875, 0.75, 0.0, 0.0, 0.625, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,surface,Cat sentence (surface),The cat sat on the,24,16,39,23,16,23,1.0,0.8696,1,1.0,0.0,0.7917,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.938, 0.5, 0.0, 0.75, 0.938, 1.0, 0.625, 0.25, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,deep_chains,1-hop chain,Alice is the mother of Bob. Alice's child is,24,16,39,21,18,23,1.0,0.7971,2,1.0,0.0,0.875,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1]","[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.875, 1.0, 0.938, 0.75, 0.938, 0.875, 0.875, 0.562, 0.875, 0.0, 0.0, 0.438, 0.438, 0.25, 0.0, 0.0, 0.0]"
pythia-410m,deep_chains,2-hop chain,Alice is the mother of Bob. Bob is the mother of Carol. Alice's grandchild is,24,16,32,17,15,23,1.0,0.8199,2,1.0,0.0,0.6667,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 0.938, 0.938, 0.75, 1.0, 0.875, 0.938, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,deep_chains,3-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],24,16,31,17,14,23,1.0,0.8199,2,1.0,0.0,0.5833,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.812, 0.938, 0.875, 0.812, 1.0, 0.875, 0.938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,deep_chains,4-hop chain,Alice is the parent of Bob. Bob is the parent of Carol. Carol is the parent of Dana. [...],24,16,37,20,17,23,1.0,0.8913,1,1.0,0.0,0.75,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 0.938, 0.938, 0.875, 1.0, 0.938, 0.875, 0.562, 0.875, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,deep_chains,5-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],24,16,30,16,14,23,1.0,0.8043,1,1.0,0.0,0.5833,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 1.0, 0.938, 0.875, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pythia-410m,deep_chains,6-hop chain,A is the parent of B. B is the parent of C. C is the parent of D. D is the parent of [...],24,16,30,16,14,23,1.0,0.8043,1,1.0,0.0,0.5833,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 1.0, 0.938, 0.875, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
